timestamp,line1_kw,line2_kw,line1_peak_kw,line2_peak_kw,event_note,unload_phase
2026-05-06 00:00:00,1567.3153422222222,1060.29489513126,1567.3153422222222,1060.29489513126,ORV#1启动；海水泵P-01C启动；罐内泵0331-P-01B启动；高压外输泵0330-P-01A启动,待机
2026-05-06 02:00:00,1585.2944014222223,1061.1500087028073,1585.2944014222223,1061.1500087028073,,待机
2026-05-06 04:00:00,1751.9740928,1067.889427947487,1751.9740928,1067.889427947487,罐内泵0331-P-01B启动；罐内泵0331-P-02B停运,待机
2026-05-06 06:00:00,2079.59201787904,2651.9740928,2079.59201787904,2651.9740928,ORV#2启动；罐内泵0331-P-04A启动；罐内泵0331-P-04C启动；罐内泵0331-P-06B停运；罐内泵0331-P-06C停运；高压外输泵0330-P-01B启动,待机
2026-05-06 08:00:00,2384.4140578006914,4661.713809382716,2384.4140578006914,4661.713809382716,罐内泵0331-P-02B停运；罐内泵0331-P-04A启动；罐内泵0331-P-04C启动；罐内泵0331-P-04D启动；罐内泵0331-P-06B停运；罐内泵0331-P-06C停运；高压外输泵0330-P-01D启动,待机
2026-05-06 10:00:00,2015.7519464470756,2915.7519464470756,2384.4140578006914,4829.566193752494,ORV#1停运；罐内泵0331-P-03B停运；罐内泵0331-P-03C停运；罐内泵0331-P-03D停运；罐内泵0331-P-04B启动；罐内泵0331-P-04D启动,待机
2026-05-06 12:00:00,2066.4269864140797,2966.4269864140797,2384.4140578006914,4829.566193752494,罐内泵0331-P-01B停运；罐内泵0331-P-01C停运；罐内泵0331-P-06C启动；罐内泵0331-P-06D启动,引航靠泊
2026-05-06 14:00:00,1935.6087083798755,2835.6087083798757,2384.4140578006914,4829.566193752494,,系统建立
2026-05-06 16:00:00,2015.7519464470756,2915.7519464470756,2384.4140578006914,4829.566193752494,卸船阶段=安全检查及卸前；罐内泵0331-P-01A启动；罐内泵0331-P-01D启动；罐内泵0331-P-05A停运；罐内泵0331-P-05C停运,安全检查及卸前
2026-05-06 18:00:00,3265.561521672443,5171.684565017329,3265.561521672443,5171.684565017329,卸船阶段=卸料臂预冷；BOG压缩机0330-C-01B启动；ORV#5启动；海水泵P-01A启动；海水泵P-01C停运；罐内泵0331-P-01A停运；罐内泵0331-P-01B停运；罐内泵0331-P-01C停运；罐内泵0331-P-02A启动；罐内泵0331-P-02B启动；罐内泵0331-P-02C启动；罐内泵0331-P-03D启动,卸料臂预冷
2026-05-06 20:00:00,2802.329766316699,4661.713809382716,3871.5719307802296,5300.0,卸船阶段=卸料升速；BOG压缩机0330-C-01A启动；罐内泵0331-P-02A启动；罐内泵0331-P-02D启动；罐内泵0331-P-06A停运；罐内泵0331-P-06D停运,卸料升速
2026-05-06 22:00:00,1897.049609546942,2907.1824758845823,3871.5719307802296,5300.0,BOG压缩机0330-C-01A停运；BOG压缩机0330-C-01B启动；罐内泵0331-P-03A停运；罐内泵0331-P-03B停运；罐内泵0331-P-03C停运；罐内泵0331-P-03D停运；罐内泵0331-P-06A启动；罐内泵0331-P-06C启动；罐内泵0331-P-06D启动,卸料全速
